cartao,ingresso,curso,turma,points
229787,2018/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,4
260719,2019/2,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,7
313557,2019/1,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Z5,4
305665,2018/1,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Z5,5
288553,2017/2,ENGENHARIA DE COMPUTAÇÃO,Z5,4
309081,2018/2,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,5
289467,2017/1,LICENCIATURA EM MATEMÁTICA,Z5,8
288440,2018/1,ENGENHARIA DE COMPUTAÇÃO,Z5,10
314879,2019/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,6
301753,2018/1,ENGENHARIA CARTOGRÁFICA - NOTURNA,Z5,6
287713,2017/2,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,7
303955,2018/1,ENGENHARIA DE COMPUTAÇÃO,Z5,5
305086,2018/2,ENGENHARIA DE COMPUTAÇÃO,Z5,8
288050,2018/1,ENGENHARIA DE COMPUTAÇÃO,Z5,6
304348,2018/2,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,6
306034,2018/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,5
301506,2019/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,6
241693,2019/1,ENGENHARIA CIVIL,Z5,9
304317,2018/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,3
271023,2017/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,4
275852,2019/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,9
303261,2018/1,ENGENHARIA DE ALIMENTOS,Z5,5
206273,2018/1,BACHARELADO EM FÍSICA: ASTROFÍSICA,Z5,8
309135,2018/2,ENGENHARIA DE COMPUTAÇÃO,Z5,5
230343,2016/1,LICENCIATURA EM MATEMÁTICA,Z5,4
304725,2019/2,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,8
303556,2018/2,ENGENHARIA CIVIL,Z5,9
308625,2018/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,4
314861,2019/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,9
